ResponseId,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
R_00000000001142,2,1,3,1,2,1,2,1,2,1,2,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001143,,1,,,1,1,,,1,,1,,,,,1,4,3,,,,2,,,,,,,,,,1,,3,,,,,,6,5,,4,,,,2,,,,,,,,,,,,,
R_00000000001144,2,3,1,1,2,2,1,1,2,1,2,,,,,,1,,2,,,4,3,,,,,1,,,,,,,,2,3,,,,,,,4,,,,,,,,,,,,,,,,
R_00000000001145,3,1,2,2,1,1,2,2,1,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001146,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001147,2,1,3,2,1,2,1,2,1,1,2,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001148,3,1,2,2,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,
R_00000000001149,,,1,1,,,1,1,,1,,,,,,,1,,4,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,,1,2,,,,,
R_00000000001150,1,2,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000001151,2,3,1,1,2,2,1,1,2,1,2,,,,,,1,,3,,,2,4,,,2,10,5,3,4,12,,7,,9,8,6,,11,,,,,1,,,,,,,,,,,,,,,,
R_00000000001152,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,4,,2,3,,,,,,,,,,11,1,,4,12,,,2,,3,8,9,6,,5,10,7,,,,,,,,,,,,,
R_00000000001153,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001154,,1,,,1,1,,,1,,1,,,,,1,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,5,,3,,,1,,,,
R_00000000001155,3,2,1,1,2,2,1,2,1,1,2,,,,,,3,4,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000001156,,1,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,
R_00000000001157,2,1,3,2,1,1,2,2,1,2,1,1,2,3,4,,,,,,,,,,,,,,,,4,6,,2,,,,1,,3,8,7,5,,9,11,10,,,,,,,,,,,,,
R_00000000001158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000001159,2,3,1,1,2,2,1,1,2,1,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,5,2,4,,,,,
R_00000000001160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,1,3,,,2,,,,
R_00000000001161,2,1,3,2,1,2,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,2,,,,
R_00000000001162,2,1,,,1,1,,,1,,1,,,,,2,4,3,,,1,,,,,,,,,,10,4,,3,,,,5,,6,8,7,9,,,1,2,,,,,,,,,,,,1,
R_00000000001163,3,2,1,1,2,2,1,1,2,1,2,,,,,,1,,4,2,,,3,,,10,4,6,2,9,,,7,,1,3,5,,11,,,12,,8,,,,,,,,,,,,,,,,
R_00000000001164,3,1,2,2,1,2,1,2,1,2,1,,,,,2,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,3,,1,,,4,,,,
R_00000000001165,2,1,3,2,1,2,1,2,1,2,1,,,,,4,,1,,3,,2,,,,,,,,,12,7,,3,4,,,11,,10,9,1,6,,5,2,8,,,,,,,,,,,,,
R_00000000001166,,2,1,1,2,,1,1,2,1,,,,,,,4,,2,,,3,1,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000001167,3,1,2,1,2,1,2,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001168,,1,,,1,1,,,1,1,,1,,2,3,,,,,,,,,,,,,,5,,,2,,,,,,6,,4,,7,,,1,,3,,,,,,,,,,,,,
R_00000000001169,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001170,3,1,2,2,1,1,2,2,1,2,1,,,,,4,1,,,2,3,,,,,,,,,,8,2,,1,,,,4,,10,11,9,5,,7,6,3,,,,,,,,,,,,,
R_00000000001171,,1,2,1,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001172,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,1,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,
R_00000000001173,2,3,1,2,1,2,1,1,2,1,2,,,,,1,4,3,,,,2,,,,,,,,,,2,,3,,,,,,,,,,,,,1,,,,,,,,,,,,2,1
R_00000000001174,2,1,3,2,1,2,1,1,2,2,1,,,,,2,,3,,1,4,,,,,,,10,,,,2,,8,,,,6,7,1,12,4,11,,9,3,5,,,,,,,,,,,,,
R_00000000001175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000001176,3,1,2,1,2,2,1,1,2,1,2,,,,,4,,,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000001177,1,2,3,2,1,2,1,1,2,2,1,,,,,2,4,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001178,3,1,2,2,1,2,1,2,1,1,2,,,,,,,2,,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000001179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001180,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,2,,3,1,,,,,,,,,,3,4,,6,,11,,9,,2,10,5,8,,1,12,7,,,,,,,,,,,,,
R_00000000001181,3,1,2,1,2,1,2,2,1,1,2,,,,,,1,3,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000001182,,1,2,1,2,2,1,1,2,1,2,,,,,1,,,,,4,3,2,,,,8,1,5,12,,,9,,2,,11,,10,,7,6,,4,3,,,,,,,,,,,,,,,1
R_00000000001183,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,2,,3,4,,,,,,,,,,6,3,,1,,,,2,,9,,5,7,,8,4,10,,,,,,,,,,,,1,2
R_00000000001184,3,1,2,1,2,1,2,1,2,1,2,,,,,3,4,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,1,,,,,,
R_00000000001185,2,3,1,1,2,2,1,1,2,1,2,,,,,,2,,1,,,3,4,,,8,7,5,3,11,,,9,,6,4,2,,10,,,,,1,,,,,,,,,,,,,,,,
R_00000000001186,3,2,1,1,2,2,1,1,2,2,1,,,,,2,4,,3,,,1,,,,,,,2,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001187,2,3,1,1,2,2,1,2,1,1,2,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,,5,,,,2,,,,
R_00000000001188,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,4,,1,,,5,,,,
R_00000000001189,2,1,3,2,1,1,2,,1,,1,,,,,1,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001190,3,1,2,2,1,1,2,2,1,2,1,,,,,2,,,,,1,,,,,,,,,,,,,,,,,2,,,1,,,,3,4,,,,,,,,,,,,,,
R_00000000001191,3,2,1,1,2,2,1,2,1,1,2,,,,,,2,,4,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,,,,,
R_00000000001192,,1,,,1,1,,,1,,1,,,,,2,,3,,1,4,,,,,,,,,,11,3,,1,,,,2,,8,10,6,5,,7,9,4,,,,,,,,,,,,,
R_00000000001193,3,1,2,1,2,2,1,2,1,1,2,,,,,,,,2,3,4,,1,,,12,9,8,11,,,,7,10,,5,4,6,,,,,1,3,2,,,,,,,,,,,,,,,
R_00000000001194,3,2,1,1,,,1,1,,1,,,,,,,4,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,3,2,,,,,
R_00000000001195,,,1,1,,,1,1,,1,,,,,,,4,,1,,,2,3,,,4,,3,6,,,,5,,8,7,2,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000001196,,1,,,1,1,,,1,,1,,,,,2,,1,,4,3,,,,,,,,,,7,3,,11,,,,5,,10,4,6,9,,8,1,2,,,,,,,,,,,,,
R_00000000001197,,1,2,,1,1,,,1,,1,,,,,1,,3,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001198,2,1,3,2,1,1,2,2,1,,1,,,,,4,,1,,2,3,,,,,,,,,,5,10,,6,,,,1,,11,8,7,2,,9,4,3,,,,,,,,,,,,,
R_00000000001199,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,2,,,3,1,,,5,9,10,3,7,,,1,12,6,8,2,,11,,,,,4,,,,,,,,,,,,,,,,
R_00000000001200,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001201,2,1,3,2,1,1,2,2,1,2,1,,,,,3,1,4,,,,,2,,,,,,,,4,6,,9,,,8,11,,2,3,1,12,,5,7,10,,,,,,,,,,,,,
R_00000000001202,,2,1,1,2,,1,1,,1,,,,,,,,,2,,,,1,,,3,,2,5,,,11,6,8,9,7,1,,,10,,,,4,,,,,,,,,,,,,,,,
R_00000000001203,2,1,3,2,1,1,2,2,1,1,2,,,,,3,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,4,,5,,,1,,,,
R_00000000001204,2,1,3,2,1,1,2,2,1,,1,,,,,2,,3,,4,1,,,,,,,,,,9,3,,6,,12,,1,,2,7,5,11,,10,8,4,,,,,,,,,,,,,
R_00000000001205,3,1,2,2,1,2,1,1,2,2,1,,,,,4,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000001206,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,,,3,1,4,,,7,,,8,,,4,5,,1,,,,,3,,2,,6,,,,,,,,,,,,,,,,
R_00000000001207,3,1,2,2,1,2,1,2,1,2,1,,,,,,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,2,,,1,,,,
R_00000000001208,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
R_00000000001209,3,1,2,2,1,1,2,2,1,1,2,,,,,4,2,3,1,,,,,,,,,5,3,,7,,,,,6,4,,,,,1,,2,,,,,,,,,,,,,,,,
R_00000000001210,2,1,3,2,1,1,2,2,1,1,2,,,,,2,,4,,1,3,,,,,,,,,,9,1,,7,2,,,11,,8,5,10,6,,3,4,12,,,,,,,,,,,,,
R_00000000001211,2,1,3,2,1,1,2,2,1,2,1,,,,,3,,1,,2,4,,,,,,,,,,11,5,,6,12,,,9,,1,10,2,3,,4,8,7,,,,,,,,,,,,,
R_00000000001212,3,2,1,1,2,2,1,1,2,1,2,,,,,4,2,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,1,,4,2,,,,,
R_00000000001213,3,1,2,1,2,2,1,1,2,2,1,,,,,,,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,2,,1,4,,,,
R_00000000001214,2,1,,,1,1,,,1,,1,,,,,3,,2,,1,4,,,,,,,,,,2,10,,6,,,,1,,5,9,11,4,,7,8,3,,,,,,,,,,,,,
R_00000000001215,3,1,2,2,1,1,2,2,1,1,2,,,,,2,,1,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,1,,5,,,3,,,,
R_00000000001216,3,1,2,1,2,2,1,1,2,1,2,,,,,4,2,,1,,,,3,,,3,,,4,,,,5,,,2,,6,,,,,,1,,,,,,,,,,,,,,,,
R_00000000001217,3,1,2,1,2,1,2,1,2,2,1,,,,,,,,,,,,,,,3,10,11,4,5,,,9,12,6,8,2,,7,,,,,1,,,,,,,,,,,,,,,,
R_00000000001218,3,1,2,2,1,2,1,2,1,1,2,,,,,,1,,3,,,2,4,,,3,,7,11,,9,8,,,6,,2,,5,1,12,10,,4,,,,,,,,,,,,,,,,
R_00000000001219,3,1,2,1,2,1,2,1,2,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001220,,,,,,,,,,1,2,,,,,,3,,,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,,4,5,,,,,
R_00000000001221,1,2,3,2,1,1,2,2,1,2,1,,,,,2,,3,,4,1,,,,,,12,,,,4,6,,2,,,,11,,9,7,3,8,,1,10,5,,,,,,,,,,,,,
R_00000000001222,3,1,2,2,1,2,1,1,2,1,2,4,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,1,4,5,,,,,
R_00000000001223,3,1,2,2,1,2,1,2,1,1,2,,,,,1,4,,3,,,2,,,,2,12,,4,,,,,5,1,,9,6,11,10,,8,3,,7,,,,,,,,,,,,,,,
R_00000000001224,,1,,,1,1,,,1,,,,,,,2,,1,,3,4,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000001225,3,1,2,2,1,2,1,2,1,1,2,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001226,2,1,3,2,1,1,2,2,1,1,2,,,,,4,,3,,2,1,,,,,,,,,,8,3,,5,,4,,1,,6,7,9,2,,11,10,12,,,,,,,,,,,,,
R_00000000001227,3,1,2,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
R_00000000001228,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001229,,1,,,1,1,,,1,,1,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000001230,,,,2,1,1,,2,1,1,2,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000001231,3,2,1,1,2,2,1,1,2,2,1,,,,,1,4,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,3,1,,5,,,,
R_00000000001232,3,1,2,2,1,2,1,1,2,1,2,,,,,4,,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,3,2,5,,,,
R_00000000001233,2,3,1,,,,,,,1,,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001234,3,1,2,2,1,1,2,2,1,1,2,,,,,2,,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,2,1,4,,,,,,,
R_00000000001235,,,1,1,,,1,1,,1,,,,,,,,,2,,,1,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,
R_00000000001236,2,3,1,1,2,2,1,1,2,2,1,,,,,,3,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,1,,3,,2,,,,
R_00000000001237,2,1,3,2,1,1,2,1,2,1,2,,,,,2,,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001238,2,1,3,1,2,1,2,2,1,2,1,,,,,3,,1,,2,4,,,,,,,,,,5,6,,2,,,,3,,1,11,7,4,,8,10,9,,,,,,,,,,,,,
R_00000000001239,,,1,1,,,1,1,,1,,,,,,,4,,1,,,3,2,,,3,8,6,1,7,,,2,,5,,10,,9,,,,,4,,,,,,,,,,,,,,,,
R_00000000001240,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,4,3,,,,,
R_00000000001241,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001242,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000001243,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001244,3,2,1,2,1,2,1,1,2,2,1,,,,,,,1,3,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000001245,2,1,3,2,1,2,1,1,2,2,1,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000001246,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,6,,7,2,,,,1,,8,5,4,,,,,,,3,,,,,,,,,,,,,,,,
R_00000000001247,3,1,2,2,1,2,1,1,2,1,2,,,,,1,,3,4,,2,,,,,,3,,,,,,,,,,,,,,,4,,,,1,2,,,,,,,,,,,,,
R_00000000001248,,2,1,1,2,2,1,2,1,1,,,,,,,,,1,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,,1,2,,,,,
R_00000000001249,3,1,2,2,1,2,1,2,1,1,2,,,,,3,,1,,2,4,,,,,12,,,,,3,4,,1,,,,11,,2,10,6,9,,5,8,7,,,,,,,,,,,,,
R_00000000001250,3,1,2,1,2,2,1,2,1,2,1,,,,,2,,4,1,,3,,,,,,,,,,,1,,4,3,,,,,,,2,,,,,,,,,,,,,,,,,,
R_00000000001251,2,1,3,2,1,2,1,1,2,1,2,,,,,4,1,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,2,5,3,,,,,,
R_00000000001252,2,3,1,2,1,2,1,1,2,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,4,3,,,,,
R_00000000001253,,1,,,1,1,,,1,,1,,,,,4,,1,,2,3,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000001254,3,2,1,2,1,1,2,2,1,2,1,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,2,,3,,1,,,,
R_00000000001255,2,1,3,1,2,1,2,1,2,2,1,,,,,3,,2,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
R_00000000001256,3,2,1,1,2,2,1,1,2,2,1,,,,,,,3,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,1,,4,,,,,,
R_00000000001257,1,3,2,2,1,2,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001258,,1,,,1,1,,,1,1,,,,,,1,,4,,2,3,,,,,12,,,,,11,8,,10,,,,9,,3,7,5,4,,6,1,2,,,,,,,,,,,,,
R_00000000001259,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,4,,2,3,,,,,,,,,,5,4,,6,,,,8,,11,9,1,2,12,7,10,3,,,,,,,,,,,,,
R_00000000001260,3,2,1,2,1,2,1,1,2,2,1,,,,,4,2,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000001261,3,2,1,1,,,1,1,,1,,,,,,,3,,2,,,4,1,,,7,10,4,1,9,,,3,,5,6,,,8,,,,,2,,,,,,,,,,,,,,,,
R_00000000001262,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,,5,,,4,,,,
R_00000000001263,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,,2,4,,,,,
R_00000000001264,,1,,,1,1,,,1,,1,,,,,1,,3,,4,2,,,,,,,,,,5,3,,7,,,,8,,2,9,10,11,,6,4,1,,,,,,,,,,,,,
R_00000000001265,2,,1,1,,,1,1,,1,,,,,,,1,,,,,2,3,,,4,,3,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000001266,1,2,3,1,2,1,2,2,1,1,2,,,,,3,,2,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001267,3,2,1,1,2,2,1,1,2,1,,,,,,,2,,1,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000001268,1,2,,2,1,1,,,1,,,,,,,,,2,,1,3,,,,,,,,,,7,3,,2,,,,6,,4,,,5,,,,1,,,,,,,,,,,,,
R_00000000001269,2,1,3,,1,1,,,1,,,,,,,2,,4,,1,3,,,,,,,,,,7,8,,9,,,,4,,2,6,3,11,,10,5,1,,,,,,,,,,,,,
R_00000000001270,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001271,1,2,3,2,1,1,2,2,1,1,2,,,,,,,1,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000001272,2,1,3,2,1,1,2,2,1,2,1,,,,,2,,4,,3,1,,,,,,,,,,4,3,,9,,,,6,,11,10,5,7,,1,2,8,,,,,,,,,,,,,
R_00000000001273,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,3,,,4,,2,,,,,,,,7,3,,4,,,12,1,,5,8,6,9,,2,10,11,,,,,,,,,,,,,
R_00000000001274,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,1,,4,2,,,,,,,,,,2,4,,7,12,,,9,,1,11,6,10,,8,3,5,,,,,,,,,,,,,
R_00000000001275,3,2,1,2,1,1,2,1,2,1,2,,,,,,3,4,2,,,1,,,,4,5,,,8,,3,9,1,7,11,10,12,6,,,2,,,,,,,,,,,,,,,,,,
R_00000000001276,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001277,3,1,2,1,2,2,1,2,1,1,2,,,,,3,4,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,2,4,,,,,,,
R_00000000001278,2,3,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,6,5,11,2,10,,,1,,9,3,4,,8,,,,,7,,,,,,,,,,,,,,,,
R_00000000001279,3,1,2,2,1,1,2,2,1,2,1,,,,,2,,3,,1,4,,,,,,,,,,,,,,,,,1,3,,,,2,,,4,,,,,,,,,,,,,1,2
R_00000000001280,2,1,3,2,1,1,2,2,1,,,,,,,4,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1
R_00000000001281,2,1,3,2,1,1,2,1,2,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001282,2,3,1,1,2,2,1,1,2,1,2,,,,,,1,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000001283,3,1,2,2,1,1,2,1,2,1,2,,,,,3,1,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000001284,3,2,1,1,2,2,1,2,1,2,1,,,,,4,2,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,1,,2,3,,,,,
R_00000000001285,3,1,2,2,1,1,2,2,1,2,1,,,,,4,,3,,2,1,,,,,,,,,,,4,,,,,,2,,,3,,,,1,,,,,,,,,,,,,,,
R_00000000001286,3,2,1,1,2,2,1,2,1,1,2,,,,,2,4,,,,1,3,,,,,,,,,,,,,1,,,,,,,,,,2,3,,,,,,,,,,,,,,
R_00000000001287,3,2,1,1,2,2,1,1,2,1,2,,,,,,,,1,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,2,5,1,,,,,
R_00000000001288,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,3,,4,2,,,,,,,,,,5,1,,10,,,,11,12,8,9,3,6,,4,7,2,,,,,,,,,,,,,
R_00000000001289,,,,2,1,2,1,1,2,2,1,,,,,3,4,1,,,,2,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,
R_00000000001290,2,1,,,1,1,,,1,,1,,,,,3,,4,,2,1,,,,,,,,,,5,4,,8,,,,1,,9,10,3,11,,2,7,6,,,,,,,,,,,,,
R_00000000001291,3,2,1,1,2,,1,1,2,1,,,,,,,3,,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000001292,2,1,3,2,1,2,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000001293,3,2,1,1,2,,1,1,,1,,,,,,,,3,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,1,4,,,,,
R_00000000001294,,2,1,1,2,2,1,1,2,1,,,,,,,3,,1,,,4,2,,,4,8,10,3,11,,,7,,5,1,9,,2,,,,,6,,,,,,,,,,,,,,,,
R_00000000001295,,,,,1,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000001296,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
